Uniform Crime Reporting Statistics - UCR Data Online
http://www.ucrdatatool.gov/
,
Violent crime rate
Oregon City Police Dept,OH,         138.7,         133.6,
Oxford Police Dept,OH,         220.3,         266.0,
Painesville Police Dept,OH,         228.9,         249.7,
Parma City Police Dept,OH,         108.3,          84.8,
Parma Heights Police Dept,OH,          83.4,          73.6,
Perkins Twp Police Dept,OH,,          49.9,
Perry Twp (Stark Co) Police Dept,OH,          92.0,,
Perrysburg City Police Dept,OH,          23.5,          18.6,
Pierce Twp Police Dept,OH,          35.2,          52.4,
Piqua Police Dept,OH,         159.8,         168.7,
Poland Township,OH,          24.5,          32.9,
Portsmouth Police Dept,OH,         437.9,         464.0,
Powell Police Dept,OH,          16.5,          16.1,
Randolph Twp Police Dept,OH,          37.8,          53.0,
Reynoldsburg Police Dept,OH,         194.7,         155.4,
Richmond Heights Police Dept,OH,         124.2,         133.4,
Riverside Police Dept,OH,         179.2,         203.4,
Sagamore Hills Twp Police Dept,OH,          72.8,          99.3,
Salem City Police Dept,OH,          49.5,          91.0,
Sandusky Police Dept,OH,         307.1,         289.3,
Seven Hills Police Dept,OH,          42.7,          51.2,
Shaker Heights Police Dept,OH,         146.8,,
Sharonville Police Dept,OH,          88.8,,
Shawnee Twp Police Dept,OH,            .0,          32.6,
Sidney Police Dept,OH,         166.8,         176.5,
Solon Police Dept,OH,          30.3,          34.6,
South Euclid Police Dept,OH,         141.4,         100.5,
Springboro Police Dept,OH,          67.8,          66.8,
Springdale Police Dept,OH,         366.3,         490.4,
Springfield City Police Dept,OH,         711.5,         750.5,
Springfield Twp (Hamilton Co) Police Dept,OH,         203.7,         224.8,
Springfield Twp (Summit Co) Police Dept,OH,         136.1,         164.1,
Stow Police Dept,OH,          66.4,          69.1,
Streetsboro Police Dept,OH,          62.1,          68.1,
Strongsville Police Dept,OH,          60.6,          91.7,
Struthers Police Dept,OH,         104.5,         296.6,
Sylvania Twp Police Dept,OH,          51.1,         125.7,
Tallmadge Police Dept,OH,         120.0,         131.2,
Toledo Police Dept,OH,       1025.3,       1091.2,
Trotwood Police Dept,OH,         453.0,         405.1,
Troy Police Dept,OH,          78.7,         160.8,
Twinsburg City Police Dept,OH,          48.0,          26.5,
Union Twp (Butler Co) Police Dept,OH,          72.3,          93.9,
Union Twp (Clermont Co) Police Dept,OH,         119.0,          79.9,
University Heights Police Dept,OH,         171.4,         217.0,
Upper Arlington Police Dept,OH,          29.1,          11.6,
Urbana Police Dept,OH,         181.1,         198.5,
Van Wert Police Dept,OH,         202.7,         288.0,
Vandalia Police Dept,OH,         144.9,         125.4,
Vermillion Police Dept,OH,         104.9,         114.6,
Wadsworth Police Dept,OH,          82.7,          50.2,
Warren City Police Dept,OH,         654.7,         448.4,
Washington City Police Dept,OH,         170.4,         220.3,
West Carrollton Police Dept,OH,         221.7,         207.2,
Westerville Police Dept,OH,          34.8,          74.0,
Westlake Police Dept,OH,,          37.0,
Whitehall Police Dept,OH,         687.2,         694.0,
Willoughby Police Dept,OH,          62.6,          97.8,
Wilmington Police Dept,OH,         217.1,         152.5,
Wooster City Police Dept,OH,         158.7,         275.9,
Worthington Police Dept,OH,          36.2,         100.7,
Xenia City Police Dept,OH,         211.2,         215.9,
Youngstown Police Dept,OH,         813.1,         660.3,
Zanesville Police Dept,OH,         429.5,         405.3,

		
		,1. The figures shown in this column for the offense of rape were estimated using the legacy UCR definition of rape - previously known as "Forcible" rape.  See UCR Offense Definitions for further information.
		
		,2. The figures shown in this column for the offense of rape were estimated using the revised Uniform Crime Reporting (UCR) definition of rape. In December 2011 the UCR program changed its definition of SRS rape to this revised definition. This change can be seen in the UCR data starting in 2013. Prior to 2013 this column will be blank. See UCR Offense Definitions for further information.
		
		
"Notes: When data are unavailable, the cells are blank or the year is not presented."

              Variations in population coverage and reporting practices may cause differences in reporting from year to year. (See definitions)

              MSA and non-MSA county populations are not available.

          Crime rates are not available for agencies that report data for less than 12 months of a year.

"         Aurora Police Dept Ohio 2014 - Because of changes in the state/local agency's reporting practices, figures are not comparable to previous years' data."

"         Perrysburg City Police Dept Ohio 2014 - Because of changes in the state/local agency's reporting practices, figures are not comparable to previous years' data."

"         Streetsboro Police Dept Ohio 2014 - The FBI determined that the agency's data were overreported.  Consequently, those data are not included in this table."

"         Struthers Police Dept Ohio 2014 - The FBI determined that the agency's data were overreported.  Consequently, those data are not included in this table."

"         Sylvania Twp Police Dept Ohio 2014 - The FBI determined that the agency's data were underreported.  Consequently, those data are not included in this table."

"         Toledo Police Dept Ohio 2013 - The FBI determined that the agency did not follow national UCR Program guidelines for reporting an offense. "

"         Toledo Police Dept Ohio 2014 - The FBI determined that the agency did not follow national UCR Program guidelines for reporting an offense.  Consequently, this figure is not included in this table."


"Sources: FBI, Uniform Crime Reports, prepared by the National Archive of Criminal Justice Data" 
