geoid,name,B19058001,"B19058001, Error",B19058002,"B19058002, Error",B19058003,"B19058003, Error"
86000US43315,43315,2514,212,350,92,2164,218
86000US43316,43316,2430,126,183,81,2247,131
86000US43317,43317,36,18,5,6,31,17
86000US43318,43318,1537,172,154,81,1383,178
86000US43319,43319,371,117,0,11,371,117
86000US43320,43320,691,122,88,53,603,109
86000US43321,43321,99,30,10,8,89,30
86000US43322,43322,132,39,29,19,103,33
86000US43323,43323,306,68,9,7,297,67
86000US43324,43324,1274,166,43,26,1231,165
86000US43326,43326,5233,240,829,199,4404,263
86000US43330,43330,63,23,13,10,50,20
86000US43331,43331,2190,177,325,82,1865,215
86000US43332,43332,730,120,77,35,653,121
86000US43333,43333,249,90,19,18,230,91
86000US43334,43334,2262,193,301,119,1961,225
86000US43336,43336,0,11,0,11,0,11
86000US43337,43337,414,108,34,25,380,108
86000US43338,43338,3838,240,647,194,3191,267
86000US43340,43340,627,94,52,27,575,96
86000US43341,43341,453,98,23,18,430,99
86000US43342,43342,1147,154,52,35,1095,152
86000US43343,43343,523,99,56,30,467,93
86000US43344,43344,2180,163,216,62,1964,174
86000US43345,43345,292,46,33,16,259,45
86000US43347,43347,572,74,46,21,526,71
86000US43348,43348,848,196,239,81,609,160
86000US43351,43351,4248,153,470,121,3778,170
86000US43356,43356,512,104,52,46,460,93
86000US43357,43357,1587,160,103,45,1484,159
86000US43358,43358,1030,164,66,29,964,160
86000US43359,43359,325,52,12,14,313,51
86000US43360,43360,691,127,38,18,653,124
86000US43402,43402,13466,416,1211,232,12255,460
86000US43403,43403,9,16,0,16,9,16
86000US43406,43406,735,79,145,59,590,76
86000US43407,43407,274,85,8,11,266,88
86000US43408,43408,121,34,14,12,107,32
86000US43410,43410,4051,212,342,121,3709,223
86000US43412,43412,1815,132,181,99,1634,141
86000US43413,43413,555,70,43,28,512,65
86000US43416,43416,1204,142,168,66,1036,124
86000US43420,43420,12471,334,1937,238,10534,347
86000US43430,43430,1718,126,157,71,1561,142
86000US43431,43431,1725,109,189,71,1536,137
86000US43432,43432,540,100,16,23,524,102
86000US43433,43433,18,19,0,11,18,19
86000US43434,43434,21,10,5,5,16,9
86000US43435,43435,500,91,50,30,450,99
86000US43437,43437,190,42,20,14,170,39
86000US43438,43438,104,27,4,5,100,27
86000US43439,43439,17,20,0,11,17,20
86000US43440,43440,2506,109,183,80,2323,130
86000US43442,43442,457,81,44,26,413,78
86000US43443,43443,756,93,33,32,723,92
86000US43445,43445,430,83,24,25,406,82
86000US43446,43446,45,12,0,11,45,12
86000US43447,43447,1298,175,118,65,1180,180
86000US43449,43449,3285,229,353,126,2932,244
86000US43450,43450,1355,98,48,34,1307,102
86000US43451,43451,422,84,34,24,388,80
86000US43452,43452,6201,207,701,144,5500,226
86000US43456,43456,214,37,8,11,206,36
86000US43457,43457,539,77,78,28,461,71
86000US43458,43458,157,34,25,16,132,32
86000US43460,43460,2634,137,123,74,2511,177
86000US43462,43462,493,65,60,43,433,59
86000US43463,43463,17,15,9,14,8,14
86000US43464,43464,415,109,14,16,401,114
86000US43465,43465,2476,190,178,76,2298,190
86000US43466,43466,794,70,54,28,740,65
86000US43467,43467,32,18,3,4,29,17
86000US43468,43468,106,42,0,11,106,42
86000US43469,43469,1162,127,134,55,1028,123
86000US43501,43501,324,77,43,35,281,76
86000US43502,43502,2520,131,265,89,2255,153
86000US43504,43504,478,41,18,12,460,41
86000US43505,43505,37,15,4,4,33,14
86000US43506,43506,6187,214,886,193,5301,282
86000US43511,43511,399,75,18,15,381,75
86000US43512,43512,11304,270,1456,217,9848,338
86000US43515,43515,3304,194,414,113,2890,202
86000US43516,43516,1082,117,106,44,976,111
86000US43517,43517,1614,123,154,47,1460,123
86000US43518,43518,1012,96,111,54,901,105
86000US43519,43519,96,37,26,40,70,31
86000US43521,43521,1176,113,223,55,953,116
86000US43522,43522,1193,103,65,35,1128,97
86000US43523,43523,0,11,0,11,0,11
86000US43524,43524,502,78,48,29,454,76
86000US43525,43525,438,62,5,7,433,64
86000US43526,43526,2305,156,209,80,2096,159
86000US43527,43527,763,81,78,35,685,77
86000US43528,43528,6323,328,740,181,5583,360
86000US43529,43529,111,34,16,13,95,31
86000US43531,43531,135,74,61,52,74,65
86000US43532,43532,1552,112,90,45,1462,120
86000US43533,43533,624,90,40,25,584,89
86000US43534,43534,707,98,53,28,654,95
86000US43535,43535,309,56,12,11,297,55
86000US43536,43536,110,60,9,15,101,61
86000US43537,43537,11206,396,771,148,10435,425
86000US43540,43540,535,85,14,14,521,86
86000US43541,43541,64,23,8,8,56,20
86000US43542,43542,1340,224,26,40,1314,222
86000US43543,43543,3301,185,459,109,2842,202
86000US43545,43545,5904,211,587,116,5317,223
86000US43547,43547,95,30,0,11,95,30
86000US43548,43548,257,46,14,12,243,47
86000US43549,43549,537,90,18,17,519,91
86000US43551,43551,15565,360,822,190,14743,412
86000US43553,43553,57,29,8,14,49,27
86000US43554,43554,1020,107,125,43,895,106
86000US43555,43555,82,41,27,36,55,27
86000US43556,43556,664,87,125,46,539,84
